SeqSampleID,SampleID,Colony,Treatment,Facility,Stage,CloneID
GG10C10,10C10,Ten,Control,GG,Planula,A
GG10C1,10C1,Ten,Control,GG,Planula,A
GG10C2,10C2,Ten,Control,GG,Planula,A
GG10C3,10C3,Ten,Control,GG,Planula,A
GG10C4,10C4,Ten,Control,GG,Planula,A
GG10C5,10C5,Ten,Control,GG,Planula,A
GG10C6,10C6,Ten,Control,GG,Planula,A
GG10C7,10C7,Ten,Control,GG,Planula,A
GG10C8,10C8,Ten,Control,GG,Planula,A
GG10C9,10C9,Ten,Control,GG,Planula,A
GG10CPo,10CPo,Ten,Control,GG,ParentPost,A
GG10CPr,10CPr,Ten,Control,GG,ParentPre,A
GG10N10,10N10,Ten,Nitrate,GG,Planula,A
GG10N1,10N1,Ten,Nitrate,GG,Planula,A
GG10N2,10N2,Ten,Nitrate,GG,Planula,A
GG10N3,10N3,Ten,Nitrate,GG,Planula,A
GG10N4,10N4,Ten,Nitrate,GG,Planula,A
GG10N5,10N5,Ten,Nitrate,GG,Planula,A
GG10N6,10N6,Ten,Nitrate,GG,Planula,A
GG10N7,10N7,Ten,Nitrate,GG,Planula,A
GG10N8,10N8,Ten,Nitrate,GG,Planula,A
GG10N9,10N9,Ten,Nitrate,GG,Planula,A
GG10NPo,10NPo,Ten,Nitrate,GG,ParentPost,A
GG10NPr,10NPr,Ten,Nitrate,GG,ParentPre,A
GG6C10,6C10,Six,Control,GG,Planula,A
GG6C1,6C1,Six,Control,GG,Planula,A
GG6C2,6C2,Six,Control,GG,Planula,A
GG6C3,6C3,Six,Control,GG,Planula,A
GG6C4,6C4,Six,Control,GG,Planula,A
GG6C5,6C5,Six,Control,GG,Planula,A
GG6C6,6C6,Six,Control,GG,Planula,A
GG6C7,6C7,Six,Control,GG,Planula,A
GG6C8,6C8,Six,Control,GG,Planula,A
GG6C9,6C9,Six,Control,GG,Planula,A
GG6CPo,6CPo,Six,Control,GG,ParentPost,A
GG6CPr,6CPr,Six,Control,GG,ParentPre,A
GG6N10,6N10,Six,Nitrate,GG,Planula,A
GG6N1,6N1,Six,Nitrate,GG,Planula,A
GG6N2,6N2,Six,Nitrate,GG,Planula,A
GG6N3,6N3,Six,Nitrate,GG,Planula,A
GG6N4,6N4,Six,Nitrate,GG,Planula,A
GG6N5,6N5,Six,Nitrate,GG,Planula,A
GG6N6,6N6,Six,Nitrate,GG,Planula,A
GG6N7,6N7,Six,Nitrate,GG,Planula,A
