,10C1,10C10,10C2,10C3,10C4,10C5,10C6,10C7,10C8,10C9,10CPo,10CPr,10N1,10N10,10N2,10N3,10N4,10N5,10N7,10N8,10N9,10NPo,10NPr,6C1,6C2,6C3,6C4,6C5,6C8,6C9,6CPo,6CPr,6N1,6N10,6N2,6N3,6N4,6N5,6N6,6N7,6N8,6N9,6NPo,6NPr,8C1,8C10,8C2,8C3,8C4,8C5,8C7,8C8,8C9,8CPo,8CPr,8N1,8N10,8N2,8N3,8N4,8N5,8N6,8N7,8N8,8N9,8NPo,8NPr,9C1,9C10,9C2,9C3,9C4,9C5,9C6,9C7,9C8,9C9,9CPo,9CPr,9N1,9N10,9N2,9N3,9N4,9N5,9N6,9N7,9N8,9N9,9NPo,9NPr
10C1,0.0,0.211977073,0.19933072899999998,0.19787165699999998,0.23346765400000002,0.16073140800000002,0.19320278899999999,0.18294293800000003,0.243349198,0.18877871499999999,0.382796705,0.37981615880116015,0.36229579,0.223048721,0.19499012799999998,0.28587001,0.23144472700000002,0.275055093,0.35284739900000006,0.294376475,0.24888525900000003,0.381514919,0.369615079,0.457983901,0.20964127499999996,0.23033419900000002,0.275069412,0.311562478,0.5644599490532161,0.42016248300000003,0.381202711,0.37673573,0.17690819599999996,0.27222777081338423,0.307235685,0.19361082400000001,0.172022183,0.25776173,0.116636149,0.279817434,0.15425807800000002,0.165248879,0.382156932,0.38303404900000004,0.25953594700000004,0.357134195,0.20546483100000001,0.207744222,0.191262598,0.22958217600000003,0.290842264,0.30737715600000004,0.164262504,0.38254399699999997,0.381279904,0.28155507599999996,0.16295444399999998,0.256016136,0.22505389599999998,0.24625121,0.218874861,0.22202921000000003,0.186737606,0.200262926,0.20797504500000003,0.379770786,0.37147788400000004,0.18350233000000002,0.264132837,0.22320279400000004,0.30872186300000004,0.215546831,0.230430266,0.21825455800000002,0.232698004,0.212595718,0.16902764600000003,0.38206820399999997,0.36781840299999996,0.230800742,0.227180344,0.22162687000000003,0.20640308599999996,0.201571369,0.231208318,0.326812918,0.226098878,0.233741411,0.16112043800000003,0.3808733437734773,0.38102004
10C10,0.211977073,0.0,0.21640917,0.22643745999999998,0.177314999,0.186462947,0.172928408,0.17030456300000002,0.234404595,0.172259438,0.438025216,0.43503448504420883,0.378132671,0.221257796,0.211174443,0.237197479,0.24135352999999998,0.261037152,0.263862132,0.285709208,0.27872358399999997,0.437928176,0.428587444,0.443789078,0.188152162,0.21380353400000002,0.245850597,0.275016723,0.5585603457661299,0.41811336599999993,0.436340908,0.43543422099999995,0.221309847,0.29798609733018966,0.219498264,0.20727295299999998,0.178242544,0.195722593,0.16976381399999999,0.28924913900000004,0.199488633,0.1969217,0.437693065,0.43861175,0.26584517399999996,0.338544272,0.182638056,0.22433101100000002,0.204596315,0.170026305,0.30285967300000005,0.224834739,0.16766331299999998,0.437855994,0.438106007,0.28699120699999997,0.204619303,0.17278167300000002,0.149721157,0.21930768499999997,0.135733194,0.12915199700000002,0.15747349900000002,0.253590889,0.268258108,0.436032057,0.429510021,0.23946555700000002,0.254229776,0.250051465,0.28156169,0.24694339799999998,0.26529226100000003,0.279890591,0.247246843,0.24342582100000001,0.23205392100000002,0.437743265,0.42364480400000004,0.224529927,0.267069987,0.174483349,0.213675591,0.275043328,0.280416809,0.37990072899999994,0.274602473,0.24768337799999998,0.171699153,0.4372962782828283,0.43876139700000005
10C2,0.19933072899999998,0.21640917,0.0,0.23362109199999997,0.286180735,0.217569679,0.16860260800000001,0.220882955,0.265115733,0.240095836,0.41636891,0.4132831320288058,0.42993067900000004,0.197469616,0.19574826700000003,0.316327377,0.262651918,0.261008102,0.371306512,0.324903194,0.335003932,0.416073308,0.410168722,0.4991278820000001,0.25059810800000004,0.275113356,0.22639968500000002,0.372637683,0.6119919739501851,0.46955314200000003,0.41461009000000004,0.412353155,0.222211551,0.3462779883603893,0.30784318199999994,0.23494300499999998,0.24394944600000001,0.28322172700000003,0.189663874,0.342356343,0.168330933,0.225655792,0.4158380929999999,0.41688559,0.331135296,0.359437116,0.1902108,0.247756389,0.228713071,0.264755869,0.316827697,0.352604307,0.196230521,0.41612330799999997,0.416225147,0.318963267,0.149330819,0.259487889,0.24407846900000002,0.273489069,0.17492689,0.23967565100000002,0.203046067,0.234391511,0.251734542,0.4140839489999999,0.41030580299999997,0.246174813,0.299827408,0.268671131,0.339810466,0.2829377,0.226892777,0.279236681,0.307705241,0.22903759099999998,0.192767369,0.415997097,0.40218816599999996,0.288973421,0.251834245,0.277289221,0.24013839299999998,0.27822901,0.267515083,0.390591319,0.24330873499999997,0.261815582,0.171772307,0.41541067342934285,0.4157252989999999
10C3,0.19787165699999998,0.22643745999999998,0.23362109199999997,0.0,0.280711507,0.224557837,0.20332281399999996,0.24496730499999997,0.28999281099999996,0.22683419999999999,0.331053182,0.3287937262124425,0.38207575699999996,0.259673122,0.108863409,0.322751475,0.27411272799999997,0.31238594,0.40713079399999996,0.334707106,0.31368889,0.33038001199999995,0.32578960999999995,0.473369656,0.253907306,0.2961359579999999,0.287073267,0.33482025699999995,0.5667933065187556,0.433649226,0.330763042,0.329414893,0.117427169,0.29261271567432523,0.3351806,0.263103253,0.239760636,0.271529665,0.17562719,0.27920753499999995,0.24312178499999998,0.177841694,0.330547797,0.33133306199999996,0.304968566,0.38550576999999997,0.238798936,0.11989788700000001,0.24010554699999997,0.252491471,0.321808713,0.358722941,0.225265165,0.33081579599999994,0.329842853,0.260931013,0.164823227,0.30268258299999995,0.274618043,0.285888907,0.230481312,0.24989458099999998,0.21840179299999998,0.17156597499999998,0.20345189999999996,0.330424783,0.32825456099999994,0.150106189,0.290273212,0.295146189,0.319994086,0.20055595999999998,0.21686372699999998,0.205417079,0.262496533,0.11801136300000001,0.22462482499999997,0.330815615,0.31990522600000004,0.219006327,0.177784649,0.26474006699999997,0.19433277899999998,0.17486217999999998,0.17055957100000002,0.266585441,0.29125035099999996,0.18309013600000001,0.187371709,0.3305922592891289,0.330410019
10C4,0.23346765400000002,0.177314999,0.286180735,0.280711507,0.0,0.219040544,0.23837575300000002,0.19938049,0.25258482800000004,0.209845801,0.41956037700000004,0.416160286859972,0.39655783,0.203218329,0.289135194,0.248007024,0.224946425,0.33605608100000006,0.210903891,0.275800815,0.293632449,0.419168725,0.406392415,0.4509686829999999,0.260480057,0.226943471,0.289940956,0.30780440600000003,0.573303977150045,0.43999383699999994,0.41755257100000004,0.414393664,0.275074464,0.3475460393832648,0.18530806099999997,0.24582272,0.170849235,0.216057092,0.24177329300000006,0.326054648,0.286203412,0.246950911,0.419155262,0.420170009,0.267567073,0.31160156099999997,0.236817455,0.289759742,0.240056534,0.140692928,0.34141553,0.20895870999999996,0.241808482,0.4194088289999999,0.41931664,0.353641848,0.234543118,0.22292987199999997,0.16622547599999998,0.296515364,0.217722287,0.189734146,0.214466168,0.29781756800000003,0.279806189,0.41686468200000004,0.40826337,0.263343916,0.28086187500000004,0.26213186200000005,0.295681927,0.282168435,0.28183229600000004,0.261344406,0.28112040000000005,0.294434594,0.26975599,0.419203466,0.403311541,0.296944482,0.301796028,0.226832484,0.278359342,0.282968379,0.312914036,0.40093418799999997,0.26267926399999997,0.313115115,0.23122098600000002,0.41833505955925593,0.419141396
10C5,0.16073140800000002,0.186462947,0.217569679,0.224557837,0.219040544,0.0,0.166414125,0.158744004,0.218042588,0.149051673,0.411971091,0.4086190192172435,0.33580370400000004,0.212264831,0.21056369000000003,0.251184728,0.220190583,0.278955109,0.312827481,0.295084879,0.255622559,0.41133914099999996,0.399313319,0.461166273,0.225459413,0.201303271,0.258027464,0.25610530200000003,0.5633002757696308,0.39771511299999995,0.410015715,0.40531426400000004,0.22980335399999996,0.27034388234804857,0.269931551,0.15378941200000001,0.136359065,0.19840771000000001,0.148551243,0.24776398,0.19492593,0.16622151899999998,0.411372578,0.412525103,0.27078519100000004,0.34466628299999996,0.190419939,0.23423743999999996,0.212186402,0.193752422,0.30732926400000005,0.26951418600000004,0.192039022,0.411748157,0.41139234599999996,0.320218358,0.19816555799999996,0.22374390400000002,0.179695302,0.25342055799999996,0.19407666499999998,0.19387261,0.14475074799999998,0.23404637,0.240036517,0.408703128,0.400990568,0.199751082,0.26094190100000003,0.25298203,0.27925290299999994,0.23628130500000002,0.239168212,0.24260305999999998,0.23319925200000002,0.232154672,0.186543136,0.411525374,0.393398479,0.256382372,0.22711198800000001,0.209239246,0.22581601,0.19956483300000002,0.255120508,0.320121282,0.269863736,0.256135567,0.180687718,0.4103471820031003,0.40955580799999997
10C6,0.19320278899999999,0.172928408,0.16860260800000001,0.20332281399999996,0.23837575300000002,0.166414125,0.0,0.175628281,0.226140601,0.159592216,0.411951912,0.4094111158131626,0.383530153,0.167244332,0.181880129,0.26005978500000004,0.24751411799999998,0.23360928200000003,0.3099760100000001,0.285535892,0.268767698,0.411974404,0.40720551599999993,0.46010655199999995,0.206764018,0.217740912,0.207406963,0.293082579,0.5682538188574573,0.40615485799999995,0.410487984,0.40992060299999994,0.210479829,0.3059151380395304,0.245337596,0.19184636900000002,0.182753774,0.228688759,0.15194582999999998,0.288673297,0.155979059,0.185351736,0.411612595,0.412400542,0.27490305400000004,0.328323386,0.14333451199999997,0.218378719,0.263990921,0.19287526500000002,0.288176983,0.299750343,0.188778123,0.411817414,0.41228748900000006,0.29475267899999996,0.143087463,0.203052995,0.198660321,0.24058802699999998,0.14384232599999996,0.183549183,0.18366386499999998,0.250283613,0.268795786,0.410013209,0.408592883,0.21525093699999998,0.276761048,0.250149375,0.29711346000000005,0.239573326,0.214422281,0.271850581,0.262313739,0.23608763099999996,0.20287442100000003,0.4116955989999999,0.40132874,0.259313815,0.21881162099999998,0.22220674299999998,0.238206147,0.23643603800000002,0.249594095,0.341075205,0.21812605699999998,0.26187959400000005,0.15651312099999998,0.4109588731823182,0.412275119
10C7,0.18294293800000003,0.17030456300000002,0.220882955,0.24496730499999997,0.19938049,0.158744004,0.175628281,0.0,0.243287782,0.136748035,0.42156272100000003,0.41823951756051214,0.40288135599999997,0.19198747900000002,0.22835689,0.22934827600000002,0.24673980899999998,0.269122859,0.26722899099999997,0.292130561,0.28610693900000006,0.421176741,0.417784425,0.46005478099999997,0.19533189899999998,0.170156015,0.273575886,0.311526624,0.5709662167047114,0.438612935,0.41998437499999997,0.420088344,0.25454069,0.3383735290862847,0.20289455299999998,0.191408872,0.171484007,0.20018943,0.171008461,0.321554848,0.20860313,0.22319450300000002,0.421074166,0.422163115,0.278005473,0.34685255099999995,0.188075659,0.258820778,0.22317814399999997,0.151577144,0.32968202599999996,0.207497272,0.19256463000000001,0.42142856100000003,0.42127342599999995,0.332879294,0.21087669,0.15271742,0.15173230599999998,0.247728584,0.18110859099999999,0.13338458399999997,0.147642224,0.237680566,0.263410347,0.419587866,0.41830416800000003,0.226560362,0.28104619499999994,0.273524708,0.297448001,0.251158491,0.27356662,0.277207394,0.27328305,0.255307752,0.18612783600000002,0.42135962000000005,0.40929009899999996,0.27194310200000005,0.268201968,0.140248482,0.24778111,0.27361710699999997,0.26692235599999997,0.36975058000000005,0.271308098,0.26842937499999997,0.19272066399999999,0.42062374820332027,0.421684068
10C8,0.243349198,0.234404595,0.265115733,0.28999281099999996,0.25258482800000004,0.218042588,0.226140601,0.243287782,0.0,0.223275351,0.449349369,0.4441162867587517,0.364858752,0.247724413,0.282005846,0.29154152600000005,0.274964517,0.33161208500000006,0.33444361100000003,0.30475278100000003,0.23380241699999998,0.447921127,0.43553184899999997,0.47415242699999993,0.283421915,0.24789838699999997,0.277648636,0.314498184,0.5673197136535961,0.410370757,0.447392537,0.43995626200000004,0.30134920800000004,0.32709473274937295,0.313610213,0.23491195000000004,0.19971713500000002,0.265135096,0.218151367,0.316031844,0.261733478,0.24217800100000003,0.44827447200000003,0.449710563,0.262173045,0.319957021,0.211866481,0.286750936,0.28537706,0.21414772799999998,0.33563909000000003,0.33166836600000005,0.22937348999999999,0.448872531,0.447068508,0.33788215600000004,0.23852762800000002,0.27437155199999996,0.262389502,0.301907196,0.243886977,0.256611838,0.23442234400000003,0.312689726,0.315916469,0.445492024,0.43768203400000005,0.26751365800000004,0.260511661,0.259200174,0.293490959,0.293023531,0.267076682,0.29415811199999997,0.27010299800000004,0.300792866,0.24631899200000004,0.44828265200000006,0.426208483,0.30054057,0.27714904799999995,0.26687905,0.29241447200000004,0.271310945,0.305085624,0.37719628000000005,0.269447658,0.326452853,0.240198544,0.44701812705720567,0.44048540599999997
10C9,0.18877871499999999,0.172259438,0.240095836,0.22683419999999999,0.209845801,0.149051673,0.159592216,0.136748035,0.223275351,0.0,0.42417089799999996,0.41979543430206046,0.343161177,0.17903641200000003,0.23047529100000003,0.210359501,0.224578978,0.25495395,0.29658048000000004,0.278250668,0.22139822799999997,0.423331254,0.408912934,0.44611194,0.185964022,0.185596802,0.23987922500000003,0.26619502899999997,0.5127419390387116,0.38278651199999997,0.42217133799999995,0.41913690299999995,0.239267725,0.29044212295675725,0.229618256,0.180044429,0.158208848,0.153398327,0.16020401,0.28215847299999997,0.201614527,0.186326918,0.423412401,0.42472030200000005,0.25932712199999997,0.341088874,0.179673556,0.236088909,0.252046637,0.17408858300000002,0.30469749700000004,0.23320445899999998,0.196964625,0.42396305,0.423674313,0.31597509700000004,0.189792823,0.185554799,0.159401355,0.249842609,0.18650587,0.137896377,0.16149279500000002,0.25537368899999996,0.28629326,0.421049621,0.409789803,0.209814215,0.2616197,0.250546881,0.27672368999999997,0.251043626,0.244764445,0.256367279,0.228486009,0.23940291100000002,0.21555758100000003,0.42382389500000006,0.406511112,0.256886845,0.24606696299999997,0.161187067,0.25067549899999997,0.23993437199999995,0.265188203,0.36026032700000005,0.256097597,0.26299137400000006,0.179704767,0.422505583150115,0.423684645
