,OS10CPo,OS10CPr,OS1CPo,OS1CPr,OS2CPo,OS2CPr,OS3CPo,OS3CPr,OS4CPo,OS4CPr,OS5CPo,OS5CPr,OS6CPo,OS6CPr,OS7CPo,OS7CPr,OS8CPo,OS8CPr,OS9CPo,OS9CPr
OS10CPo,0,0.002109777,0.000892241,0.001793936,0.006417763,0.003592372,0.000916205,0.001545563,0.000948001,0.002578053,0.000941466,0.000892324,0.000984554,0.000854803,0.001277471,0.025093927,0.000948538,0.002325293,0.000996992,0.001318763
OS10CPr,0.002109777,0,0.002231843,0.001360289,0.005562427,0.002909748,0.002172537,0.002406176,0.002336215,0.003004504,0.002298034,0.002227979,0.00229936,0.002271234,0.001261665,0.025201917,0.002094149,0.002791706,0.002299482,0.002027556
OS1CPo,0.000892241,0.002231843,0,0.00191724,0.006468689,0.003871728,0.000302805,0.001495633,0.00030014,0.00259797,0.000307292,0.000345333,0.000293357,0.000528759,0.001485487,0.025209883,0.000392769,0.002280431,0.00029936,0.001381868
OS1CPr,0.001793936,0.001360289,0.00191724,0,0.005689729,0.002837656,0.001906278,0.002050484,0.001954087,0.002884829,0.001947141,0.001822802,0.002012911,0.001974851,0.001122115,0.025052311,0.00179399,0.002604226,0.002014624,0.001600449
OS2CPo,0.006417763,0.005562427,0.006468689,0.005689729,0,0.006195807,0.006442773,0.006617488,0.006612594,0.007151763,0.006603472,0.006543445,0.006587229,0.006449642,0.005604233,0.026177595,0.006377531,0.006590022,0.006588942,0.006196868
OS2CPr,0.003592372,0.002909748,0.003871728,0.002837656,0.006195807,0,0.003833715,0.003040097,0.003990555,0.004109079,0.003975902,0.003867047,0.003948332,0.003581561,0.002959177,0.024844634,0.003741552,0.003705196,0.003952316,0.003365914
OS3CPo,0.000916205,0.002172537,0.000302805,0.001906278,0.006442773,0.003833715,0,0.001437187,0.000308408,0.002566269,0.000318049,0.000370555,0.000298814,0.000561185,0.001508304,0.025277495,0.00039057,0.002338244,0.000300527,0.001438189
OS3CPr,0.001545563,0.002406176,0.001495633,0.002050484,0.006617488,0.003040097,0.001437187,0,0.001465524,0.002711722,0.001473959,0.001405016,0.001422677,0.00147174,0.001740998,0.025276586,0.00126873,0.00255482,0.001415936,0.001796518
OS4CPo,0.000948001,0.002336215,0.00030014,0.001954087,0.006612594,0.003990555,0.000308408,0.001465524,0,0.002634965,0.000178508,0.00022445,7.89E-05,0.000640937,0.001598923,0.025361159,0.000262668,0.002438188,7.60E-05,0.001487403
OS4CPr,0.002578053,0.003004504,0.00259797,0.002884829,0.007151763,0.004109079,0.002566269,0.002711722,0.002634965,0,0.00258668,0.002540192,0.002597443,0.00239229,0.00286391,0.025689536,0.002593618,0.003185896,0.002590702,0.002776838
OS5CPo,0.000941466,0.002298034,0.000307292,0.001947141,0.006603472,0.003975902,0.000318049,0.001473959,0.000178508,0.00258668,0,0.000239709,0.000218669,0.000650719,0.00159123,0.02533282,0.000321666,0.002427641,0.000220382,0.001401232
OS5CPr,0.000892324,0.002227979,0.000345333,0.001822802,0.006543445,0.003867047,0.000370555,0.001405016,0.00022445,0.002540192,0.000239709,0,0.000249655,0.000601547,0.001501699,0.025303291,0.000293287,0.002424297,0.000262093,0.001390716
OS6CPo,0.000984554,0.00229936,0.000293357,0.002012911,0.006587229,0.003948332,0.000298814,0.001422677,7.89E-05,0.002597443,0.000218669,0.000249655,0,0.000609948,0.001545351,0.02532403,0.000229813,0.002408196,1.44E-05,0.001536188
OS6CPr,0.000854803,0.002271234,0.000528759,0.001974851,0.006449642,0.003581561,0.000561185,0.00147174,0.000640937,0.00239229,0.000650719,0.000601547,0.000609948,0,0.001492251,0.025218929,0.00065531,0.002390079,0.000611661,0.00146018
OS7CPo,0.001277471,0.001261665,0.001485487,0.001122115,0.005604233,0.002959177,0.001508304,0.001740998,0.001598923,0.00286391,0.00159123,0.001501699,0.001545351,0.001492251,0,0.024998529,0.001347146,0.002545028,0.001549335,0.001360743
OS7CPr,0.025093927,0.025201917,0.025209883,0.025052311,0.026177595,0.024844634,0.025277495,0.025276586,0.025361159,0.025689536,0.02533282,0.025303291,0.02532403,0.025218929,0.024998529,0,0.025135843,0.024187435,0.025324152,0.024941192
OS8CPo,0.000948538,0.002094149,0.000392769,0.00179399,0.006377531,0.003741552,0.00039057,0.00126873,0.000262668,0.002593618,0.000321666,0.000293287,0.000229813,0.00065531,0.001347146,0.025135843,0,0.002446919,0.000231526,0.001420366
OS8CPr,0.002325293,0.002791706,0.002280431,0.002604226,0.006590022,0.003705196,0.002338244,0.00255482,0.002438188,0.003185896,0.002427641,0.002424297,0.002408196,0.002390079,0.002545028,0.024187435,0.002446919,0,0.002401456,0.002400742
OS9CPo,0.000996992,0.002299482,0.00029936,0.002014624,0.006588942,0.003952316,0.000300527,0.001415936,7.60E-05,0.002590702,0.000220382,0.000262093,1.44E-05,0.000611661,0.001549335,0.025324152,0.000231526,0.002401456,0,0.001537901
OS9CPr,0.001318763,0.002027556,0.001381868,0.001600449,0.006196868,0.003365914,0.001438189,0.001796518,0.001487403,0.002776838,0.001401232,0.001390716,0.001536188,0.00146018,0.001360743,0.024941192,0.001420366,0.002400742,0.001537901,0
