,10C1,10C10,10C2,10C3,10C4,10C5,10C6,10C7,10C8,10C9,10N1,10N10,10N2,10N3,10N4,10N5,10N7,10N8,10N9,6C1,6C2,6C3,6C4,6C5,6C8,6C9,6N1,6N10,6N2,6N3,6N4,6N5,6N6,6N7,6N8,6N9,8C1,8C10,8C2,8C3,8C4,8C5,8C7,8C8,8C9,8N1,8N10,8N2,8N3,8N4,8N5,8N6,8N7,8N8,8N9,9C1,9C10,9C2,9C3,9C4,9C5,9C6,9C7,9C8,9C9,9N1,9N10,9N2,9N3,9N4,9N5,9N6,9N7,9N8,9N9
10C1,0,0.211977073,0.199330729,0.197871657,0.233467654,0.160731408,0.193202789,0.182942938,0.243349198,0.188778715,0.36229579,0.223048721,0.194990128,0.28587001,0.231444727,0.275055093,0.352847399,0.294376475,0.248885259,0.457983901,0.209641275,0.230334199,0.275069412,0.311562478,0.564459949,0.420162483,0.176908196,0.272227771,0.307235685,0.193610824,0.172022183,0.25776173,0.116636149,0.279817434,0.154258078,0.165248879,0.259535947,0.357134195,0.205464831,0.207744222,0.191262598,0.229582176,0.290842264,0.307377156,0.164262504,0.281555076,0.162954444,0.256016136,0.225053896,0.24625121,0.218874861,0.22202921,0.186737606,0.200262926,0.207975045,0.18350233,0.264132837,0.223202794,0.308721863,0.215546831,0.230430266,0.218254558,0.232698004,0.212595718,0.169027646,0.230800742,0.227180344,0.22162687,0.206403086,0.201571369,0.231208318,0.326812918,0.226098878,0.233741411,0.161120438
10C10,0.211977073,0,0.21640917,0.22643746,0.177314999,0.186462947,0.172928408,0.170304563,0.234404595,0.172259438,0.378132671,0.221257796,0.211174443,0.237197479,0.24135353,0.261037152,0.263862132,0.285709208,0.278723584,0.443789078,0.188152162,0.213803534,0.245850597,0.275016723,0.558560346,0.418113366,0.221309847,0.297986097,0.219498264,0.207272953,0.178242544,0.195722593,0.169763814,0.289249139,0.199488633,0.1969217,0.265845174,0.338544272,0.182638056,0.224331011,0.204596315,0.170026305,0.302859673,0.224834739,0.167663313,0.286991207,0.204619303,0.172781673,0.149721157,0.219307685,0.135733194,0.129151997,0.157473499,0.253590889,0.268258108,0.239465557,0.254229776,0.250051465,0.28156169,0.246943398,0.265292261,0.279890591,0.247246843,0.243425821,0.232053921,0.224529927,0.267069987,0.174483349,0.213675591,0.275043328,0.280416809,0.379900729,0.274602473,0.247683378,0.171699153
10C2,0.199330729,0.21640917,0,0.233621092,0.286180735,0.217569679,0.168602608,0.220882955,0.265115733,0.240095836,0.429930679,0.197469616,0.195748267,0.316327377,0.262651918,0.261008102,0.371306512,0.324903194,0.335003932,0.499127882,0.250598108,0.275113356,0.226399685,0.372637683,0.611991974,0.469553142,0.222211551,0.346277988,0.307843182,0.234943005,0.243949446,0.283221727,0.189663874,0.342356343,0.168330933,0.225655792,0.331135296,0.359437116,0.1902108,0.247756389,0.228713071,0.264755869,0.316827697,0.352604307,0.196230521,0.318963267,0.149330819,0.259487889,0.244078469,0.273489069,0.17492689,0.239675651,0.203046067,0.234391511,0.251734542,0.246174813,0.299827408,0.268671131,0.339810466,0.2829377,0.226892777,0.279236681,0.307705241,0.229037591,0.192767369,0.288973421,0.251834245,0.277289221,0.240138393,0.27822901,0.267515083,0.390591319,0.243308735,0.261815582,0.171772307
10C3,0.197871657,0.22643746,0.233621092,0,0.280711507,0.224557837,0.203322814,0.244967305,0.289992811,0.2268342,0.382075757,0.259673122,0.108863409,0.322751475,0.274112728,0.31238594,0.407130794,0.334707106,0.31368889,0.473369656,0.253907306,0.296135958,0.287073267,0.334820257,0.566793307,0.433649226,0.117427169,0.292612716,0.3351806,0.263103253,0.239760636,0.271529665,0.17562719,0.279207535,0.243121785,0.177841694,0.304968566,0.38550577,0.238798936,0.119897887,0.240105547,0.252491471,0.321808713,0.358722941,0.225265165,0.260931013,0.164823227,0.302682583,0.274618043,0.285888907,0.230481312,0.249894581,0.218401793,0.171565975,0.2034519,0.150106189,0.290273212,0.295146189,0.319994086,0.20055596,0.216863727,0.205417079,0.262496533,0.118011363,0.224624825,0.219006327,0.177784649,0.264740067,0.194332779,0.17486218,0.170559571,0.266585441,0.291250351,0.183090136,0.187371709
10C4,0.233467654,0.177314999,0.286180735,0.280711507,0,0.219040544,0.238375753,0.19938049,0.252584828,0.209845801,0.39655783,0.203218329,0.289135194,0.248007024,0.224946425,0.336056081,0.210903891,0.275800815,0.293632449,0.450968683,0.260480057,0.226943471,0.289940956,0.307804406,0.573303977,0.439993837,0.275074464,0.347546039,0.185308061,0.24582272,0.170849235,0.216057092,0.241773293,0.326054648,0.286203412,0.246950911,0.267567073,0.311601561,0.236817455,0.289759742,0.240056534,0.140692928,0.34141553,0.20895871,0.241808482,0.353641848,0.234543118,0.222929872,0.166225476,0.296515364,0.217722287,0.189734146,0.214466168,0.297817568,0.279806189,0.263343916,0.280861875,0.262131862,0.295681927,0.282168435,0.281832296,0.261344406,0.2811204,0.294434594,0.26975599,0.296944482,0.301796028,0.226832484,0.278359342,0.282968379,0.312914036,0.400934188,0.262679264,0.313115115,0.231220986
10C5,0.160731408,0.186462947,0.217569679,0.224557837,0.219040544,0,0.166414125,0.158744004,0.218042588,0.149051673,0.335803704,0.212264831,0.21056369,0.251184728,0.220190583,0.278955109,0.312827481,0.295084879,0.255622559,0.461166273,0.225459413,0.201303271,0.258027464,0.256105302,0.563300276,0.397715113,0.229803354,0.270343882,0.269931551,0.153789412,0.136359065,0.19840771,0.148551243,0.24776398,0.19492593,0.166221519,0.270785191,0.344666283,0.190419939,0.23423744,0.212186402,0.193752422,0.307329264,0.269514186,0.192039022,0.320218358,0.198165558,0.223743904,0.179695302,0.253420558,0.194076665,0.19387261,0.144750748,0.23404637,0.240036517,0.199751082,0.260941901,0.25298203,0.279252903,0.236281305,0.239168212,0.24260306,0.233199252,0.232154672,0.186543136,0.256382372,0.227111988,0.209239246,0.22581601,0.199564833,0.255120508,0.320121282,0.269863736,0.256135567,0.180687718
10C6,0.193202789,0.172928408,0.168602608,0.203322814,0.238375753,0.166414125,0,0.175628281,0.226140601,0.159592216,0.383530153,0.167244332,0.181880129,0.260059785,0.247514118,0.233609282,0.30997601,0.285535892,0.268767698,0.460106552,0.206764018,0.217740912,0.207406963,0.293082579,0.568253819,0.406154858,0.210479829,0.305915138,0.245337596,0.191846369,0.182753774,0.228688759,0.15194583,0.288673297,0.155979059,0.185351736,0.274903054,0.328323386,0.143334512,0.218378719,0.263990921,0.192875265,0.288176983,0.299750343,0.188778123,0.294752679,0.143087463,0.203052995,0.198660321,0.240588027,0.143842326,0.183549183,0.183663865,0.250283613,0.268795786,0.215250937,0.276761048,0.250149375,0.29711346,0.239573326,0.214422281,0.271850581,0.262313739,0.236087631,0.202874421,0.259313815,0.218811621,0.222206743,0.238206147,0.236436038,0.249594095,0.341075205,0.218126057,0.261879594,0.156513121
10C7,0.182942938,0.170304563,0.220882955,0.244967305,0.19938049,0.158744004,0.175628281,0,0.243287782,0.136748035,0.402881356,0.191987479,0.22835689,0.229348276,0.246739809,0.269122859,0.267228991,0.292130561,0.286106939,0.460054781,0.195331899,0.170156015,0.273575886,0.311526624,0.570966217,0.438612935,0.25454069,0.338373529,0.202894553,0.191408872,0.171484007,0.20018943,0.171008461,0.321554848,0.20860313,0.223194503,0.278005473,0.346852551,0.188075659,0.258820778,0.223178144,0.151577144,0.329682026,0.207497272,0.19256463,0.332879294,0.21087669,0.15271742,0.151732306,0.247728584,0.181108591,0.133384584,0.147642224,0.237680566,0.263410347,0.226560362,0.281046195,0.273524708,0.297448001,0.251158491,0.27356662,0.277207394,0.27328305,0.255307752,0.186127836,0.271943102,0.268201968,0.140248482,0.24778111,0.273617107,0.266922356,0.36975058,0.271308098,0.268429375,0.192720664
10C8,0.243349198,0.234404595,0.265115733,0.289992811,0.252584828,0.218042588,0.226140601,0.243287782,0,0.223275351,0.364858752,0.247724413,0.282005846,0.291541526,0.274964517,0.331612085,0.334443611,0.304752781,0.233802417,0.474152427,0.283421915,0.247898387,0.277648636,0.314498184,0.567319714,0.410370757,0.301349208,0.327094733,0.313610213,0.23491195,0.199717135,0.265135096,0.218151367,0.316031844,0.261733478,0.242178001,0.262173045,0.319957021,0.211866481,0.286750936,0.28537706,0.214147728,0.33563909,0.331668366,0.22937349,0.337882156,0.238527628,0.274371552,0.262389502,0.301907196,0.243886977,0.256611838,0.234422344,0.312689726,0.315916469,0.267513658,0.260511661,0.259200174,0.293490959,0.293023531,0.267076682,0.294158112,0.270102998,0.300792866,0.246318992,0.30054057,0.277149048,0.26687905,0.292414472,0.271310945,0.305085624,0.37719628,0.269447658,0.326452853,0.240198544
10C9,0.188778715,0.172259438,0.240095836,0.2268342,0.209845801,0.149051673,0.159592216,0.136748035,0.223275351,0,0.343161177,0.179036412,0.230475291,0.210359501,0.224578978,0.25495395,0.29658048,0.278250668,0.221398228,0.44611194,0.185964022,0.185596802,0.239879225,0.266195029,0.512741939,0.382786512,0.239267725,0.290442123,0.229618256,0.180044429,0.158208848,0.153398327,0.16020401,0.282158473,0.201614527,0.186326918,0.259327122,0.341088874,0.179673556,0.236088909,0.252046637,0.174088583,0.304697497,0.233204459,0.196964625,0.315975097,0.189792823,0.185554799,0.159401355,0.249842609,0.18650587,0.137896377,0.161492795,0.255373689,0.28629326,0.209814215,0.2616197,0.250546881,0.27672369,0.251043626,0.244764445,0.256367279,0.228486009,0.239402911,0.215557581,0.256886845,0.246066963,0.161187067,0.250675499,0.239934372,0.265188203,0.360260327,0.256097597,0.262991374,0.179704767
