,OS10CPo,OS10NPo,OS1CPo,OS1NPo,OS2CPo,OS2NPo,OS3CPo,OS3NPo,OS4CPo,OS4NPo,OS5CPo,OS5NPo,OS6CPo,OS6NPo,OS7CPo,OS7NPo,OS8CPo,OS8NPo,OS9CPo,OS9NPo
OS10CPo,0,0.000940704,0.000892241,0.000909051,0.006417763,0.042905475,0.000916205,0.001389565,0.000948001,0.00102043,0.000941466,0.000875659,0.000984554,0.000940578,0.001277471,0.000918505,0.000948538,0.000833824,0.000996992,0.000980982
OS10NPo,0.000940704,0,0.000290169,0.000504213,0.006539536,0.043089506,0.000301029,0.001268592,0.000140292,0.000376801,0.000220372,0.000345341,0.000105886,0.000357093,0.001503926,0.000605411,0.000241263,0.00057318,0.000106075,0.000133228
OS1CPo,0.000892241,0.000290169,0,0.000496617,0.006468689,0.043015394,0.000302805,0.001253508,0.00030014,0.000454848,0.000307292,0.000403064,0.000293357,0.000424699,0.001485487,0.000596192,0.000392769,0.000507311,0.00029936,0.000306784
OS1NPo,0.000909051,0.000504213,0.000496617,0,0.006331379,0.042879973,0.000471502,0.001124688,0.000522129,0.000557694,0.000484886,0.00040715,0.000513871,0.000472919,0.001360256,0.000536876,0.000395707,0.000604306,0.000515584,0.000498215
OS2CPo,0.006417763,0.006539536,0.006468689,0.006331379,0,0.041845371,0.006442773,0.005661553,0.006612594,0.006634639,0.006603472,0.006354228,0.006587229,0.006409585,0.005604233,0.006318854,0.006377531,0.006394159,0.006588942,0.006555368
OS2NPo,0.042905475,0.043089506,0.043015394,0.042879973,0.041845371,0,0.042962661,0.042690461,0.043177818,0.043127982,0.043094576,0.043008308,0.04314327,0.042997235,0.042477852,0.042822896,0.043038436,0.042885729,0.043147254,0.043087054
OS3CPo,0.000916205,0.000301029,0.000302805,0.000471502,0.006442773,0.042962661,0,0.001167485,0.000308408,0.000468287,0.000318049,0.000361889,0.000298814,0.000340046,0.001508304,0.000493946,0.00039057,0.00048131,0.000300527,0.000323594
OS3NPo,0.001389565,0.001268592,0.001253508,0.001124688,0.005661553,0.042690461,0.001167485,0,0.001278301,0.001316223,0.001291514,0.001065595,0.001277739,0.001130309,0.000817807,0.001214119,0.001060733,0.001184466,0.001279452,0.001251919
OS4CPo,0.000948001,0.000140292,0.00030014,0.000522129,0.006612594,0.043177818,0.000308408,0.001278301,0,0.000389715,0.000178508,0.000313895,7.89E-05,0.000370223,0.001598923,0.000644914,0.000262668,0.000575156,7.60E-05,0.000138985
OS4NPo,0.00102043,0.000376801,0.000454848,0.000557694,0.006634639,0.043127982,0.000468287,0.001316223,0.000389715,0,0.000429132,0.000383574,0.000372265,0.000427078,0.001589886,0.000697364,0.000371748,0.000674605,0.000384704,0.000381552
OS5CPo,0.000941466,0.000220372,0.000307292,0.000484886,0.006603472,0.043094576,0.000318049,0.001291514,0.000178508,0.000429132,0,0.000371958,0.000218669,0.000410639,0.00159123,0.000624473,0.000321666,0.000582807,0.000220382,0.000244579
OS5NPo,0.000875659,0.000345341,0.000403064,0.00040715,0.006354228,0.043008308,0.000361889,0.001065595,0.000313895,0.000383574,0.000371958,0,0.000323165,0.000261189,0.001365041,0.000573301,0.000144375,0.000591561,0.000335603,0.000343266
OS6CPo,0.000984554,0.000105886,0.000293357,0.000513871,0.006587229,0.04314327,0.000298814,0.001277739,7.89E-05,0.000372265,0.000218669,0.000323165,0,0.000338726,0.001545351,0.000629171,0.000229813,0.000588083,1.44E-05,9.77E-05
OS6NPo,0.000940578,0.000357093,0.000424699,0.000472919,0.006409585,0.042997235,0.000340046,0.001130309,0.000370223,0.000427078,0.000410639,0.000261189,0.000338726,0,0.001418234,0.000511316,0.000250635,0.000491308,0.000331985,0.000314231
OS7CPo,0.001277471,0.001503926,0.001485487,0.001360256,0.005604233,0.042477852,0.001508304,0.000817807,0.001598923,0.001589886,0.00159123,0.001365041,0.001545351,0.001418234,0,0.001436549,0.001347146,0.00146663,0.001549335,0.001515465
OS7NPo,0.000918505,0.000605411,0.000596192,0.000536876,0.006318854,0.042822896,0.000493946,0.001214119,0.000644914,0.000697364,0.000624473,0.000573301,0.000629171,0.000511316,0.001436549,0,0.000608372,0.000519104,0.000630884,0.000601374
OS8CPo,0.000948538,0.000241263,0.000392769,0.000395707,0.006377531,0.043038436,0.00039057,0.001060733,0.000262668,0.000371748,0.000321666,0.000144375,0.000229813,0.000250635,0.001347146,0.000608372,0,0.000629003,0.000231526,0.000239188
OS8NPo,0.000833824,0.00057318,0.000507311,0.000604306,0.006394159,0.042885729,0.00048131,0.001184466,0.000575156,0.000674605,0.000582807,0.000591561,0.000588083,0.000491308,0.00146663,0.000519104,0.000629003,0,0.000589796,0.000584675
OS9CPo,0.000996992,0.000106075,0.00029936,0.000515584,0.006588942,0.043147254,0.000300527,0.001279452,7.60E-05,0.000384704,0.000220382,0.000335603,1.44E-05,0.000331985,0.001549335,0.000630884,0.000231526,0.000589796,0,8.94E-05
OS9NPo,0.000980982,0.000133228,0.000306784,0.000498215,0.006555368,0.043087054,0.000323594,0.001251919,0.000138985,0.000381552,0.000244579,0.000343266,9.77E-05,0.000314231,0.001515465,0.000601374,0.000239188,0.000584675,8.94E-05,0
