,OS10CPr,OS10NPr,OS1CPr,OS1NPr,OS2CPr,OS2NPr,OS3CPr,OS3NPr,OS4CPr,OS4NPr,OS5CPr,OS5NPr,OS6CPr,OS6NPr,OS7CPr,OS7NPr,OS8CPr,OS8NPr,OS9CPr,OS9NPr
OS10CPr,0,0.007041113,0.001360289,0.032721509,0.002909748,0.001974418,0.002406176,0.00213334,0.003004504,0.003227926,0.002227979,0.002288438,0.002271234,0.002304478,0.025201917,0.002152795,0.002791706,0.01968999,0.002027556,0.002348627
OS10NPr,0.007041113,0,0.007373302,0.029778767,0.007407604,0.007074989,0.008296554,0.00811083,0.008601239,0.006654876,0.008373204,0.008171424,0.008135417,0.008331266,0.026753995,0.008249952,0.008007847,0.017459811,0.007927767,0.00838365
OS1CPr,0.001360289,0.007373302,0,0.033036392,0.002837656,0.001886122,0.002050484,0.001866489,0.002884829,0.003121767,0.001822802,0.001960354,0.001974851,0.002058816,0.025052311,0.00171954,0.002604226,0.019971647,0.001600449,0.0021112
OS1NPr,0.032721509,0.029778767,0.033036392,0,0.033411117,0.032657408,0.034193455,0.033903853,0.034266912,0.032527156,0.034105078,0.034100704,0.034050651,0.034082021,0.040392682,0.03399522,0.033800359,0.015892086,0.033579308,0.03402873
OS2CPr,0.002909748,0.007407604,0.002837656,0.033411117,0,0.002310041,0.003040097,0.003687896,0.004109079,0.002847373,0.003867047,0.00372079,0.003581561,0.003983058,0.024844634,0.003634679,0.003705196,0.020425574,0.003365914,0.004027207
OS2NPr,0.001974418,0.007074989,0.001886122,0.032657408,0.002310041,0,0.002562652,0.002744268,0.003330577,0.002976966,0.002910882,0.002970105,0.002934279,0.003057383,0.025141507,0.002746975,0.003361864,0.019777788,0.002693445,0.003101531
OS3CPr,0.002406176,0.008296554,0.002050484,0.034193455,0.003040097,0.002562652,0,0.001197453,0.002711722,0.004157346,0.001405016,0.00145447,0.00147174,0.001456285,0.025276586,0.001394044,0.00255482,0.021079347,0.001796518,0.001508669
OS3NPr,0.00213334,0.00811083,0.001866489,0.033903853,0.003687896,0.002744268,0.001197453,0,0.002404905,0.00409284,0.00043542,0.000439762,0.00057055,0.000367867,0.025108478,0.000547517,0.002414596,0.02077208,0.001508473,0.000420252
OS4CPr,0.003004504,0.008601239,0.002884829,0.034266912,0.004109079,0.003330577,0.002711722,0.002404905,0,0.004462794,0.002540192,0.002439585,0.00239229,0.00254651,0.025689536,0.002534363,0.003185896,0.021184206,0.002776838,0.002493219
OS4NPr,0.003227926,0.006654876,0.003121767,0.032527156,0.002847373,0.002976966,0.004157346,0.00409284,0.004462794,0,0.004249599,0.004213895,0.004082141,0.004376554,0.024705554,0.004030701,0.003853001,0.019773075,0.003350154,0.004420703
OS5CPr,0.002227979,0.008373204,0.001822802,0.034105078,0.003867047,0.002910882,0.001405016,0.00043542,0.002540192,0.004249599,0,0.000347455,0.000601547,0.000306285,0.025303291,0.000412813,0.002424297,0.020976852,0.001390716,0.000350434
OS5NPr,0.002288438,0.008171424,0.001960354,0.034100704,0.00372079,0.002970105,0.00145447,0.000439762,0.002439585,0.004213895,0.000347455,0,0.00047164,0.000413003,0.025314572,0.000530044,0.002409184,0.020976402,0.001473477,0.000465387
OS6CPr,0.002271234,0.008135417,0.001974851,0.034050651,0.003581561,0.002934279,0.00147174,0.00057055,0.00239229,0.004082141,0.000601547,0.00047164,0,0.000655853,0.025218929,0.000712285,0.002390079,0.020910086,0.00146018,0.000708237
OS6NPr,0.002304478,0.008331266,0.002058816,0.034082021,0.003983058,0.003057383,0.001456285,0.000367867,0.00254651,0.004376554,0.000306285,0.000413003,0.000655853,0,0.025279961,0.000543218,0.002432198,0.020981855,0.001582093,6.15E-05
OS7CPr,0.025201917,0.026753995,0.025052311,0.040392682,0.024844634,0.025141507,0.025276586,0.025108478,0.025689536,0.024705554,0.025303291,0.025314572,0.025218929,0.025279961,0,0.025123825,0.024187435,0.034312575,0.024941192,0.025218434
OS7NPr,0.002152795,0.008249952,0.00171954,0.03399522,0.003634679,0.002746975,0.001394044,0.000547517,0.002534363,0.004030701,0.000412813,0.000530044,0.000712285,0.000543218,0.025123825,0,0.002492883,0.020712133,0.001152846,0.000595602
OS8CPr,0.002791706,0.008007847,0.002604226,0.033800359,0.003705196,0.003361864,0.00255482,0.002414596,0.003185896,0.003853001,0.002424297,0.002409184,0.002390079,0.002432198,0.024187435,0.002492883,0,0.02117072,0.002400742,0.002484582
OS8NPr,0.01968999,0.017459811,0.019971647,0.015892086,0.020425574,0.019777788,0.021079347,0.02077208,0.021184206,0.019773075,0.020976852,0.020976402,0.020910086,0.020981855,0.034312575,0.020712133,0.02117072,0,0.020384856,0.020938555
OS9CPr,0.002027556,0.007927767,0.001600449,0.033579308,0.003365914,0.002693445,0.001796518,0.001508473,0.002776838,0.003350154,0.001390716,0.001473477,0.00146018,0.001582093,0.024941192,0.001152846,0.002400742,0.020384856,0,0.001634477
OS9NPr,0.002348627,0.00838365,0.0021112,0.03402873,0.004027207,0.003101531,0.001508669,0.000420252,0.002493219,0.004420703,0.000350434,0.000465387,0.000708237,6.15E-05,0.025218434,0.000595602,0.002484582,0.020938555,0.001634477,0
